# Program:featureCounts v1.5.0-p1; Command:""featureCounts"" ""-a"" ""ws254.saf"" ""-o"" ""counts.txt"" ""-s"" ""2"" ""-F"" ""SAF"" ""1_S1_R1_001"" ""2_S2_R1_001"" ""3_S3_R1_001"" ""4_S4_R1_001"" ""5_S5_R1_001"" ""6_S6_R1_001"" ""7_S7_R1_001"" "
Geneid	Chr	Start	End	Strand	Length	s1_S1_R1_001	s2_S2_R1_001	s3_S3_R1_001	s5_S5_R1_001	s6_S6_R1_001	s7_S7_R1_001
WBGene00022042	chrI	535791	536670	+	880	9953	6652	3660	5313	9539	13235
WBGene00201456	chrI	536804	536931	-	128	0	0	0	0	0	0
WBGene00007009	chrI	537122	542200	+	5079	8112	3456	7867	7659	10147	8777
WBGene00220191	chrI	539086	539242	+	157	0	0	0	0	0	0
WBGene00004235	chrI	550696	556638	+	5943	3489	812	1726	2353	2496	2811
WBGene00202444	chrI	553658	553785	+	128	0	0	0	0	0	0
WBGene00002393	chrI	557375	561671	+	4297	16	0	33	14	19	69
WBGene00022040	chrI	562736	565181	+	2446	56	10	59	49	0	49
WBGene00000434	chrI	565436	566414	-	979	182	70	151	206	262	241
WBGene00001725	chrI	572177	575120	-	2944	2	30	1	0	16	15
WBGene00044427	chrI	582288	583748	-	1461	4	0	1	0	0	10
WBGene00235390	chrI	585119	585376	+	258	0	0	0	0	0	0
WBGene00002040	chrI	585831	607601	-	21771	487	412	527	582	789	543
WBGene00200417	chrI	613290	613379	-	90	0	0	0	0	0	0
WBGene00201449	chrI	613290	613379	+	90	0	0	0	0	0	2
WBGene00018923	chrI	614651	629444	-	14794	159	153	89	105	99	318
WBGene00018921	chrI	618160	621490	+	3331	71	20	42	21	20	19
WBGene00022028	chrI	621708	622187	+	480	22	0	20	16	11	34
WBGene00022029	chrI	629492	636350	-	6859	2723	1360	1277	1696	1859	2779
WBGene00220188	chrI	630006	630218	-	213	0	0	0	0	0	0
WBGene00220189	chrI	630926	631035	-	110	0	0	0	0	0	0
WBGene00022027	chrI	636804	637852	+	1049	1081	608	767	934	1187	1672
WBGene00022026	chrI	638129	653986	+	15858	880	182	648	767	916	1034
WBGene00022030	chrI	645626	647242	-	1617	4	0	0	0	0	19
WBGene00022025	chrI	654090	658810	+	4721	380	140	427	547	394	621
WBGene00022031	chrI	659557	663686	-	4130	599	105	239	327	321	730
WBGene00022032	chrI	664426	666900	-	2475	0	0	0	0	0	10
WBGene00044461	chrI	667615	674413	-	6799	2	0	0	2	22	0
WBGene00021215	chrI	680408	683472	+	3065	250	0	96	59	144	204
WBGene00021214	chrI	682876	686599	-	3724	7	28	7	13	0	15
WBGene00021207	chrI	688286	691267	+	2982	0	0	0	0	0	0
WBGene00021210	chrI	692026	694948	-	2923	1354	518	807	1359	1526	1715
WBGene00021208	chrI	694982	698322	-	3341	1261	618	708	1014	1565	1907
WBGene00021209	chrI	700274	715874	-	15601	2735	1032	2229	2119	2903	2622
WBGene00004332	chrI	717893	719816	-	1924	26	0	7	18	0	44
WBGene00004028	chrI	719929	731078	+	11150	133	155	97	89	139	197
WBGene00044434	chrI	731068	736552	-	5485	30	0	25	41	35	26
WBGene00236789	chrI	740835	741878	+	1044	67	0	30	64	61	49
WBGene00000623	chrI	741913	745570	-	3658	3	0	0	4	0	0
WBGene00198328	chrI	742120	742286	-	167	0	0	0	0	0	0
WBGene00000624	chrI	745859	748288	+	2430	0	0	1	0	0	0
WBGene00021213	chrI	748228	757010	-	8783	4	0	0	0	0	0
WBGene00023169	chrI	754680	754763	+	84	0	0	0	0	0	0
WBGene00197162	chrI	757536	757618	+	83	0	0	0	0	0	0
WBGene00021212	chrI	758756	760429	+	1674	0	0	0	4	0	0
WBGene00020282	chrI	760848	761849	-	1002	0	0	0	0	0	0
WBGene00020283	chrI	763597	770720	+	7124	19	59	2	5	0	28
WBGene00020281	chrI	770892	776369	+	5478	0	0	0	0	0	5
WBGene00196394	chrI	774365	774585	+	221	0	0	0	0	0	0
WBGene00196011	chrI	774439	774584	-	146	0	0	0	0	0	0
WBGene00201573	chrI	779157	779241	-	85	0	0	0	0	0	0
WBGene00201667	chrI	788097	788219	+	123	22	0	8	15	49	23
WBGene00195514	chrI	796997	797295	-	299	0	0	0	0	5	0
WBGene00199422	chrI	801555	801698	-	144	0	0	0	0	0	0
WBGene00022518	chrI	803368	835277	+	31910	16356	7713	25451	21579	27405	22246
WBGene00023398	chrI	803800	803872	+	73	0	0	0	0	0	0
WBGene00200408	chrI	806419	806659	-	241	0	0	0	0	0	0
WBGene00201436	chrI	806510	806659	+	150	0	0	0	0	0	0
WBGene00202093	chrI	809294	809476	+	183	0	0	0	0	0	0
WBGene00197978	chrI	812295	812442	-	148	0	0	6	0	0	0
WBGene00195610	chrI	815976	816026	+	51	0	0	0	0	0	0
WBGene00200506	chrI	816036	816306	+	271	0	0	0	0	0	0
WBGene00197264	chrI	834416	834465	+	50	0	0	0	0	0	0
WBGene00022517	chrI	837996	841746	+	3751	59	26	75	30	79	113
WBGene00022519	chrI	841742	846763	-	5022	7006	2256	6498	7868	9380	8674
WBGene00202359	chrI	846171	846491	+	321	0	0	0	0	0	0
WBGene00022388	chrI	853451	872103	+	18653	1436	728	1686	1856	1484	1595
WBGene00022389	chrI	873164	882713	-	9550	17420	5183	9177	13002	20552	15507
WBGene00022386	chrI	882918	890194	+	7277	433	201	269	271	449	400
WBGene00022390	chrI	889771	895105	-	5335	117	65	141	148	142	175
WBGene00001678	chrI	897286	906077	+	8792	530	159	449	448	559	584
WBGene00220217	chrI	906339	906481	+	143	2	0	0	0	0	0
WBGene00022385	chrI	907448	911189	+	3742	5	0	3	1	0	5
WBGene00022391	chrI	912415	926877	-	14463	16972	4558	12886	14787	22360	22161
WBGene00201274	chrI	916168	916317	+	150	6	0	0	1	0	8
WBGene00022383	chrI	938464	941773	+	3310	157	155	40	70	87	167
WBGene00003548	chrI	942257	947710	+	5454	20	0	16	8	69	18
WBGene00199411	chrI	942547	942652	-	106	1	0	0	0	0	0
WBGene00200422	chrI	942547	942652	+	106	0	0	0	0	0	0
WBGene00195544	chrI	946027	946117	+	91	0	0	0	0	0	0
WBGene00023199	chrI	946044	946115	-	72	0	0	0	0	0	0
WBGene00003238	chrI	948569	957404	-	8836	4749	944	3061	3922	4768	4219
WBGene00018787	chrI	963700	969426	-	5727	170	262	191	138	187	373
WBGene00018788	chrI	969089	976503	-	7415	1957	785	1722	1973	1640	1781
WBGene00197993	chrI	979125	979274	+	150	0	0	0	0	0	0
WBGene00200860	chrI	979125	979274	-	150	0	0	0	0	0	0
WBGene00018786	chrI	989671	992181	+	2511	440	43	356	300	335	120
WBGene00016932	chrI	996045	1005066	+	9022	2550	855	1911	1937	3357	3088
WBGene00196934	chrI	996207	996655	+	449	0	0	0	0	0	0
WBGene00199650	chrI	996277	996576	-	300	0	0	0	0	0	4
WBGene00016931	chrI	1006102	1010765	+	4664	523	187	248	301	493	387
WBGene00016930	chrI	1011371	1014455	-	3085	5	0	4	0	0	52
WBGene00236808	chrI	1015204	1015731	-	528	1	0	0	0	0	5
WBGene00005002	chrI	1016403	1017180	+	778	118	49	14	19	117	112
WBGene00021335	chrI	1018835	1019229	+	395	29	0	20	25	167	59
WBGene00021327	chrI	1019827	1029910	-	10084	1800	889	967	1301	1610	2313
